config,target,runs,mean_qps,std_qps,min_qps,max_qps,mean_p95_ms,std_p95_ms,min_p95_ms,max_p95_ms,mean_avg_ms,mean_p99_ms,cpu_avg_percent,cpu_max_percent,any_cpu_warning
ibench-llc,50000.0,3,31620.03333333333,3479.8013080251194,28383.8,35300.7,3.9224666666666663,0.45500710250866794,3.4522,4.3605,2.282666666666667,7.9751666666666665,66.06333333333333,100.0,True
ibench-llc,55000.0,3,30800.100000000002,2379.6004223398527,28511.0,33260.9,3.9948,0.3486981932846798,3.6855,4.3727,2.3366000000000002,7.9575000000000005,66.06333333333333,100.0,True
ibench-llc,60000.0,3,30208.266666666666,2660.4198265186133,27139.2,31858.8,4.153933333333334,0.4870299819655187,3.8703000000000003,4.7163,2.3868000000000005,7.969566666666666,66.06333333333333,100.0,True
ibench-llc,65000.0,3,30172.0,2066.002817035833,28883.8,32555.0,4.1153,0.31491184480740053,3.7592,4.3571,2.3849666666666667,7.9878,66.06333333333333,100.0,True
ibench-llc,70000.0,3,31255.466666666664,3828.613959820622,28389.6,35603.6,3.9837000000000002,0.49632073299430046,3.4106,4.2715,2.3136666666666668,7.9472,66.06333333333333,100.0,True
ibench-llc,75000.0,3,29790.8,2094.4082123597605,28574.4,32209.2,4.122833333333333,0.3177101561696342,3.758,4.3386000000000005,2.413866666666667,7.9633666666666665,66.06333333333333,100.0,True
ibench-llc,80000.0,3,30172.0,1997.7868154535417,28093.6,32078.0,4.176333333333333,0.5163747605502548,3.797,4.764399999999999,2.3853333333333335,7.973300000000001,66.06333333333333,100.0,True
ibench-membw,5000.0,3,5008.400000000001,24.367191056828755,4980.4,5024.8,0.41663333333333336,0.012079045216130853,0.4032,0.42660000000000003,0.2950333333333333,0.7165666666666667,66.74333333333334,100.0,True
ibench-membw,10000.0,3,9991.266666666666,62.749130140052365,9919.2,10033.8,0.47409999999999997,0.012700787377166813,0.4602,0.48510000000000003,0.32436666666666664,0.7779666666666666,66.74333333333334,100.0,True
ibench-membw,15000.0,3,15031.666666666666,36.777348100879536,14989.2,15053.0,0.5493333333333333,0.02106901358235192,0.5357000000000001,0.5736,0.3659666666666667,1.3404666666666667,66.74333333333334,100.0,True
ibench-membw,20000.0,3,19968.266666666666,39.351916514109234,19923.8,19998.6,0.6743,0.10866834865773926,0.5864,0.7958,0.4000333333333333,1.3114333333333332,66.74333333333334,100.0,True
ibench-membw,25000.0,3,24962.733333333334,97.59535508072746,24895.0,25074.6,1.1380333333333332,0.6354155674307431,0.6397999999999999,1.8536,0.5264333333333334,2.7605333333333335,66.74333333333334,100.0,True
ibench-membw,30000.0,3,30007.466666666664,56.994853568839766,29947.0,30060.2,0.8658666666666667,0.26601447955578156,0.6865,1.1715,0.4519666666666667,1.8518333333333334,66.74333333333334,100.0,True
ibench-membw,35000.0,3,34927.96666666667,85.81447041923157,34858.8,35024.0,1.0742666666666667,0.3366562688163304,0.853,1.4617,0.5171666666666667,2.0952333333333333,66.74333333333334,100.0,True
ibench-membw,40000.0,3,39962.700000000004,87.48091220375146,39896.2,40061.8,1.5644333333333333,0.40434941985037304,1.0983,1.8207,0.6956333333333333,2.852833333333333,66.74333333333334,100.0,True
ibench-membw,45000.0,3,42590.46666666667,2379.4664976278464,39843.4,44009.6,2.7653,0.20023139114534458,2.6344000000000003,2.9958,1.6323999999999999,7.683233333333334,66.74333333333334,100.0,True
